text,escalation_score_haiku,escalation_score_sonnet,escalation_score_opus,score_variance
"PRESIDENT TRUMP: As you know, Hamas has now been severely degraded, and Hezbollah has recently been dealt crippling blows. With strength and the right leadership, the dawn of a new, more harmonious Middle East is finally within our reach.So here is my commitment to you on this solemn date: I will not allow the Jewish state to be threatened with destruction. I will not allow another Holocaust of the Jewish people. I will not allow a jihad to be waged on America or our allies. And I will support Israel’s right to win its war on terror—and win it fast.",6.0,4.0,0.0,9.333333333333334
"@JDVance1: ""We stand with Israel today and unequivocally condemn anti-Semitism whether it's in Israel, the Middle East, or in our own country. Because we want peace more than anything else -- we support Israel's right to exist, defend itself, and do what it takes to end the war.""",5.0,0.0,,12.5
"PRESIDENT TRUMP: ""Together, we will deliver low taxes, low regulations, low energy costs, low interest rates, and low inflation so that everyone can afford groceries, a nice car, and a home. We will stop the invasion, we will end migrant crime, we will strengthen our military, we will build a missile defense shield. We will keep Critical Race Theory and transgender insanity out of our schools, and keep men out of women’s sports. We will defend the Second Amendment, protect religious liberty, restore free speech, and we will secure our elections. Everyone will prosper. Every family will thrive. And every day will be filled with opportunity and hope. But for that to happen, we must defeat Kamala Harris—and we must stop her country-destroying radical-left agenda once and for all. We want a landslide that is TOO BIG TO RIG!""",3.0,0.0,4.0,4.333333333333334
"PRESIDENT TRUMP: ""On Day One of my new administration, the INVASION of savage criminals ENDS, and on that same day, the largest deportation in our history begins.""",6.0,0.0,0.0,12.0
"WE WILL SEAL THE BORDER, END THE INVASION, AND CARRY OUT THE LARGEST DEPORTATION OPERATION IN AMERICAN HISTORY!",6.0,0.0,0.0,12.0
FLASHBACK: U.S. officials warn Border Patrol agents to watch out for improvised explosive devices (IEDs) in an internal memo.The U.S. southern border has become a WAR ZONE under Kamala Harris's watch.,4.0,0.0,3.0,4.333333333333334
"President Trump's plan to secure our border:- Stop all migrant flights- Shut down all entries through the migrant phone app- End catch-and-release- Restore Remain in Mexico- Bring back Title 42- Send in federal law enforcement to liberate Aurora, Colorado- Send Congress a bill to ban Sanctuary Cities- Seal the border- Stop the invasion- Begin the largest deportation operation in the history of our country",4.0,0.0,,8.0
President Trump on funding deportations: I'll take it out of our defense budget because this is an INVASION!,4.0,0.0,0.0,5.333333333333334
"PRESIDENT TRUMP: ""A vote for Comrade Kamala Harris is a vote for war with Russia -- It is also a vote to bring back the draft --Russia would have never attacked Ukraine and didn't for four years.""",6.0,4.0,8.0,4.0
"President Trump will STOP the invasion, SHUT DOWN sanctuary cities, and carry out the LARGEST DEPORTATION OPERATION in American history!",4.0,2.0,0.0,4.0
"RT @realDonaldTrumpThis Election is about the ECONOMY, INFLATION, OPEN BORDERS (ILLEGAL IMMIGRATION), RESPECT FOR OUR NATION, PREVENTING WORLD WAR lll AND A 1929 STYLE DEPRESSION…",6.0,8.0,0.0,17.333333333333336
"FLASHBACK: Kamala Harris last March warned Israel not to conduct a military operation in Rafah.""I have studied the maps.”Over the weekend, the bodies of six hostages were recovered from Rafah, including American citizen Hersh Goldberg-Polin.",4.0,2.0,0.0,4.0
"RT @realDonaldTrumpIn an effort to resurrect a “dead” Witch Hunt in Washington, D.C., in an act of desperation, and in order to save face, the illegally appointed “Special Counsel” Deranged Jack Smith, has brought a ridiculous new Indictment against me, which has all the problems of the old Indictment, and should be dismissed IMMEDIATELY. His Florida Document Hoax Case has been completely dismissed. This is merely an attempt to INTERFERE WITH THE ELECTION, and distract the American People from the catastrophes Kamala Harris has inflicted on our Nation, like the Border Invasion, Migrant Crime, Rampant Inflation, the threat of World War III, and more….",,3.0,0.0,4.5
"PRESIDENT TRUMP: ""Three years ago, Kamala's and Biden's incompetence left 13 dead warriors, hundreds of civilians killed and grievously wounded, and $85 billion worth of the finest military equipment on the planet abandoned to the Taliban.""",4.0,2.0,0.0,4.0
"Together, we will deliver low taxes, low regulations, low energy costs, low interest rates, and low inflation so that everyone can afford groceries, a car, and a home. We will stop the invasion, end migrant crime, support our police, strengthen our military, build a missile defense shield, keep Critical Race Theory and transgender insanity out of our schools, and keep men out of women’s sports. We will defend the Second Amendment, restore free speech, and we will secure our elections.Everyone will prosper. Every family will thrive. And every day will be filled with opportunity, hope, and joy. But for that to happen, we must never let Kamala Harris get anywhere near the White House—and we must defeat her country-destroying liberal agenda once and for all. So get your friends, get your family, register, volunteer, and get out and VOTE!On November 5th, we will save our economy. We will rescue our Middle Class. We will put AMERICA FIRST—and we will Make America Great Again!",4.0,4.0,0.0,5.333333333333334
"PRESIDENT TRUMP:I told Putin, ""Don't do it!"" — and I told him what I'd do if he did.He said, ""No way.""I said, ""WAY.""🔥🔥🔥#TrumpOnX",6.0,4.0,8.0,4.0
"PRESIDENT TRUMP: Unlike liberal Kamala, I will support Israel’s right to win its war on terror.And instead of pandering to jihad-sympathizers and America-hating radicals, I will DEPORT THEM.",4.0,3.0,0.0,4.333333333333334
MARIA: Do you think there are after-effects [of the assassination attempt?]@RonnyJacksonTX: I don't think so - he's a unique individual. I have never ever been prouder of my president than we he stood up with blood all over his face and raised his fist in defiance. That was his warrior spirit from deep down inside. He's a warrior. He will not be deterred.,6.0,0.0,0.0,12.0
"Now, we go forward as ONE MOVEMENT—more united and determined than ever before! We will never stop working to deliver a magnificent future for our people—and together, we will FIGHT, FIGHT, FIGHT, and we will WIN, WIN, WIN!",4.0,0.0,0.0,5.333333333333334
Vice Presidential Candidate @JDVance1: Joe Biden has made it harder and harder for Israel to win the war against Hamas.#RNCinMKE,4.0,3.0,0.0,4.333333333333334
"""Foreign policy has never been [President Trump's] strong point,"" says Biden — who has brought us to the brink of another world war after President Trump's four years of PEACE",6.0,4.0,8.0,4.0
"PRESIDENT TRUMP: If I was president, the war in Ukraine would never have happened, the October 7th attack on Israel would never have happened, and Russian nuclear submarines would not be circling Cuba 60 miles off our coasts.",6.0,3.0,8.0,6.333333333333333
"Debbie Douglas's family ranch in Edwards County, Texas has come under siege from the cartels and illegal aliens. Debbie has been forced to install steel shutters, steel screens, and reinforced door frames all over her home, including on her 8-year-old granddaughter’s bedroom window.Joe Biden has heartlessly betrayed his solemn duty to Americans like Debbie, and he has sided with the cartels.",4.0,2.0,0.0,4.0
RT @realDonaldTrumpCROOKED JOE BIDEN’S INVASION! https://www.DonaldJTrump.com,4.0,2.0,0.0,4.0
"🇺🇸Our brave warfighters executed counterterrorism airstrikes, killing dozens of ISIS jihadis hiding in a cave complex in Somalia.We continue to mop up the mess left by Biden. For years, terrorists killed Americans with impunity. Now, they are the prey—and we are the hunters.",4.0,0.0,,8.0
